PID,Social Media Post,Normalized Claim,post
660,"I rise on the Senate Floor today because our democracy is in crisis. We have an obligation to protect the integrity of our elections, and that's why I am calling for an Electoral Commission to conduct an emergency audit to examine voter fraud allegations.","“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.""
","i rise on the senate floor today because our democracy is inch crisis. we have an obligation to protect the integrity of our elections, and that is why i am calling for an electoral commission to conduct an emergency audit to examine voter fraud allegations."
661,"In case you missed the previous post, make sure you view & check the following -
If you or anyone you know has a car, you should know this, regardless of payment of the car, YOU ARE NOT THE OWNER, disagree?
Check your paperwork, YOU ARE SIMPLY THE KEEPER.
Keeper - One who has charge of someone/ something; warden; has responsibility of something/ but IS NOT OWNER.
* Look up the meaning, go on, see it for yourself.
Here is my paperwork below. Make sure you read from top to bottom.
Our 'beloved' government changed the rules, what is legal, but not what is lawful.
Meaning what? Just like the WEF (World Economic Forum/ Davos/ Klaus Schwab) has stated in their advert (see on YouTube, Brand New Tube, etc), ""You will own nothing and be happy"", the 'decent' folk who we elect to work for us, have decided to TAKE OUR PROPERTY WITHOUT OUR CONSENT.
...and we agree to it when we sign on the ""dotted"" line.
* side note - if you have a very good magnifying glass, take a look at the dotted line, they're not dots, but words.
Have a look at below, and please, I implore you, please, please, check your own documents, look at them. You are the ""KEEPER"", NOT the owner.
We have been lied to.
Look at the documents below where it says, ""you MUST complete..."", and remember the previous post on what ""Must"" actually means - ""shall/ may"" (invited/ permitted), from Black's law dictionary.
It's all a game of trickery and deceit, and we have been played for so long.
It's time to wake up.
Question everything.","Even if you have purchased your car you don’t technically own it, you are just the keeper, and your car paperwork proves this.","inch case you missed the previous post, make sure you view check the following if you or anyone you know has a car, you should know this, regardless of payment of the car, you are not the owner, disagree? check your paperwork, you are simply the keeper. keeper one who has charge of someone something warden has responsibility of something but is not owner. look up the meaning, go on, see it for yourself. here is my paperwork below. make sure you read from top to bottom. our beloved government changed the rules, what is legal, but not what is lawful. meaning what? just like the wef world economic forum davos klaus schwab has stated inch their advert see on youtube, brand new tube, etc, you will own nothing and be happy, the decent folk who we elect to work for us, have decided to take our property without our consent. ...and we agree to it when we sign on the dotted line. side note if you have a very good magnifying glass, take a look at the dotted line, they are not dots, but words. have a look at below, and please, i implore you, please, please, check your own documents, look at them. you are the keeper, not the owner. we have been lied to. look at the documents below where it says, you must complete..., and remember the previous post on what must actually means shall may invited permitted, from blacks law dictionary. it is all a game of trickery and deceit, and we have been played for so long. it is time to wake up. question everything."
662,Artile / Other,A WhatsApp message circulated suggests that wearing socks at night while sleeping can cause brain damage. The same question has also been discussed on multiple online forums. We did a Fact Check on the topic and realised that the claim is entirely false.,artile other
663,Labour will put Black and ethnic minority families first to preserve a diverse nation,A Labour poster featuring Diane Abbott said “Labour will put black and ethnic minority families first to preserve a diverse nation”.,labour will put black and ethnic minority families first to preserve a diverse nation
664,In view of the Covid situation I have decided to quarantine myself for a week to ten days as a mark of abundant caution.I will not be available on telephone except for emergencies.,True:Vijay Sai Reddy tests corona positive,inch view of the covid situation i have decided to quarantine myself for a week to ten days as a mark of abundant caution.i will not be available on telephone except for emergencies.
665,Young Ukraine girl confronts a Russian Soldier and tells him to go back to Russia.,Images show a young Ukrainian girl telling a Russian soldier to go home.,young ukraine girl confronts a russian soldier and tells him to go back to russia.
666,"The margin of benefit, based primarily on a health perspective, is considered too small to support advice on a universal programme of vaccination of otherwise healthy 12 to 15-year-old children at this time",Coronavirus is as deadly as the flu.,"the margin of benefit, based primarily on a health perspective, is considered too small to support advice on a universal programme of vaccination of otherwise healthy 12 to 15yearold children at this time"
667,"Before 
 @AOC
  hit the national stage & was just a fairly unknown House candidate frm NYC,she took time awy frm her campaign & came dwn to #Tornillo to protest the #tentcity housing migrant children.I made these previously unpublished fotos a yr ago today. #elpaso #aoc #onassignment","Says Alexandria Ocasio-Cortez ""weeps over empty parking lot.""","before aoc hit the national stage was just a fairly unknown house candidate frm nyc,she took time awy frm her campaign came dwn to tornillo to protest the tentcity housing migrant children.i made these previously unpublished fotos a yr ago today. elpaso aoc onassignment"
668,Get your vaccine to beat climate change!!,Sky News published an article headlined: “UK Heatwave: Vaccines could be the way to battle the climate crises!”,get your vaccine to beat climate change!!
669,getty images,Aam Aadmi Party chief and Chief Minister of Delhi Arvind Kejriwal wore a bomb disposal suit,getty images
670,There is no biologically plausible mechanism by which current vaccines would cause any impact on women's fertility,If you got the Covid-19 vaccine you probably won’t be able to get pregnant.,there is no biologically plausible mechanism by which current vaccines would cause any impact on womens fertility
